Image Number,Image Pair,SSIM,PSNR,Histogram
p1-nomor91,Original vs. Original,1.00,100.00,1.00
p1-nomor91,Original vs. ns,0.98,44.63,1.00
p1-nomor91,Original vs. telea,0.98,44.56,1.00
p1-nomor91,Original vs. lap,0.68,29.99,0.09
p1-nomor91,Original vs. bilap,0.98,44.21,0.91
p1-nomor92,Original vs. Original,1.00,100.00,1.00
p1-nomor92,Original vs. ns,0.91,38.91,1.00
p1-nomor92,Original vs. telea,0.91,38.95,1.00
p1-nomor92,Original vs. lap,0.60,30.19,0.50
p1-nomor92,Original vs. bilap,0.91,38.46,1.00
p1-nomor93,Original vs. Original,1.00,100.00,1.00
p1-nomor93,Original vs. ns,0.97,40.72,0.85
p1-nomor93,Original vs. telea,0.96,40.67,0.92
p1-nomor93,Original vs. lap,0.77,28.49,-0.03
p1-nomor93,Original vs. bilap,0.97,40.90,0.61
p1-nomor94,Original vs. Original,1.00,100.00,1.00
p1-nomor94,Original vs. ns,0.74,35.50,1.00
p1-nomor94,Original vs. telea,0.74,35.46,1.00
p1-nomor94,Original vs. lap,0.39,30.01,0.26
p1-nomor94,Original vs. bilap,0.73,36.44,0.99
p1-nomor95,Original vs. Original,1.00,100.00,1.00
p1-nomor95,Original vs. ns,0.97,43.34,1.00
p1-nomor95,Original vs. telea,0.97,43.49,1.00
p1-nomor95,Original vs. lap,0.38,28.43,0.00
p1-nomor95,Original vs. bilap,0.88,39.44,1.00
p1-nomor96,Original vs. Original,1.00,100.00,1.00
p1-nomor96,Original vs. ns,0.93,38.89,0.62
p1-nomor96,Original vs. telea,0.93,38.89,0.76
p1-nomor96,Original vs. lap,0.43,27.97,-0.06
p1-nomor96,Original vs. bilap,0.93,38.77,0.29
p1-nomor97,Original vs. Original,1.00,100.00,1.00
p1-nomor97,Original vs. ns,0.89,37.88,0.97
p1-nomor97,Original vs. telea,0.89,37.90,0.98
p1-nomor97,Original vs. lap,0.40,28.23,-0.01
p1-nomor97,Original vs. bilap,0.89,37.50,0.82
p1-nomor98,Original vs. Original,1.00,100.00,1.00
p1-nomor98,Original vs. ns,0.92,39.69,1.00
p1-nomor98,Original vs. telea,0.92,39.72,1.00
p1-nomor98,Original vs. lap,0.55,28.31,-0.01
p1-nomor98,Original vs. bilap,0.89,39.38,0.76
p1-nomor99,Original vs. Original,1.00,100.00,1.00
p1-nomor99,Original vs. ns,0.98,43.87,1.00
p1-nomor99,Original vs. telea,0.98,44.01,1.00
p1-nomor99,Original vs. lap,0.64,28.81,-0.01
